	Team 1	Team 2	Home_team_score	Away_team_score
12740	Queens Park Rangers FC (	Bristol City FC (	3	0
12741	Scunthorpe United FC (	Charlton Athletic FC (	1	0
12742	Sheffield Wednesday FC (	Ipswich Town FC (	1	2
12743	Stoke City FC (	Cardiff City FC (	2	1
12744	Watford FC (	Wolverhampton Wanderers FC (	3	0
12745	West Bromwich Albion FC (	Burnley FC (	2	1
12746	Charlton Athletic FC (	Crystal Palace FC (	2	0
12747	Barnsley FC (	West Bromwich Albion FC (	2	1
12748	Bristol City FC (	Sheffield Wednesday FC (	2	1
12749	Burnley FC (	Colchester United FC (	1	1
12750	Cardiff City FC (	Norwich City FC (	1	2
12751	Hull City AFC (	Blackpool FC (	2	2
12752	Ipswich Town FC (	Watford FC (	1	2
12753	Leicester City FC (	Plymouth Argyle FC (	0	1
12754	Preston North End FC (	Coventry City FC (	1	0
12755	Sheffield United FC (	Scunthorpe United FC (	0	0
12756	Southampton FC (	Queens Park Rangers FC (	2	3
12757	Wolverhampton Wanderers FC (	Stoke City FC (	2	4
12758	Blackpool FC (	Wolverhampton Wanderers FC (	0	0
12759	Colchester United FC (	Preston North End FC (	2	1
12760	Coventry City FC (	Cardiff City FC (	0	0
12761	Crystal Palace FC (	Ipswich Town FC (	0	1
12762	Norwich City FC (	Hull City AFC (	1	1
12763	Plymouth Argyle FC (	Barnsley FC (	3	0
12764	Queens Park Rangers FC (	Burnley FC (	2	4
12765	Scunthorpe United FC (	Bristol City FC (	0	1
12766	Sheffield Wednesday FC (	Charlton Athletic FC (	0	0
12767	Stoke City FC (	Southampton FC (	3	2
12768	Watford FC (	Leicester City FC (	1	0
12769	West Bromwich Albion FC (	Sheffield United FC (	0	0
12770	Stoke City FC (	Scunthorpe United FC (	3	2
12771	Charlton Athletic FC (	Watford FC (	2	2
12772	Hull City AFC (	Colchester United FC (	1	1
12773	Ipswich Town FC (	Blackpool FC (	2	1
12774	Leicester City FC (	Norwich City FC (	4	0
12775	Bristol City FC (	Crystal Palace FC (	1	1
12776	Southampton FC (	Plymouth Argyle FC (	0	2
12777	Blackpool FC (	Charlton Athletic FC (	5	3
12778	Colchester United FC (	Bristol City FC (	1	2
12779	Coventry City FC (	Leicester City FC (	2	0
12780	Crystal Palace FC (	Wolverhampton Wanderers FC (	0	2
12781	Norwich City FC (	Barnsley FC (	1	0
12782	Plymouth Argyle FC (	Burnley FC (	3	1
12783	Queens Park Rangers FC (	Sheffield United FC (	1	1
12784	Scunthorpe United FC (	Southampton FC (	1	1
12785	Sheffield Wednesday FC (	Cardiff City FC (	1	0
12786	Stoke City FC (	Ipswich Town FC (	1	0
12787	Watford FC (	Preston North End FC (	0	0
12788	West Bromwich Albion FC (	Hull City AFC (	1	2
12789	Barnsley FC (	Queens Park Rangers FC (	0	0
12790	Burnley FC (	Coventry City FC (	2	0
12791	Preston North End FC (	Stoke City FC (	2	0
12792	Barnsley FC (	Sheffield Wednesday FC (	0	0
12793	Bristol City FC (	Hull City AFC (	2	1
12794	Burnley FC (	Watford FC (	2	2
12795	Cardiff City FC (	Leicester City FC (	0	1
12796	Colchester United FC (	Wolverhampton Wanderers FC (	0	1
12797	Norwich City FC (	Blackpool FC (	1	2
12798	Preston North End FC (	Crystal Palace FC (	0	1
12799	Scunthorpe United FC (	Coventry City FC (	2	1
12800	Sheffield United FC (	Charlton Athletic FC (	0	2
12801	Southampton FC (	Ipswich Town FC (	1	1
12802	West Bromwich Albion FC (	Plymouth Argyle FC (	3	0
12803	Queens Park Rangers FC (	Stoke City FC (	3	0
12804	Blackpool FC (	Barnsley FC (	1	1
12805	Charlton Athletic FC (	Bristol City FC (	1	1
12806	Crystal Palace FC (	Cardiff City FC (	0	0
12807	Hull City AFC (	Burnley FC (	2	0
12808	Ipswich Town FC (	Sheffield United FC (	1	1
12809	Leicester City FC (	Preston North End FC (	0	1
12810	Plymouth Argyle FC (	Colchester United FC (	4	1
12811	Sheffield Wednesday FC (	West Bromwich Albion FC (	0	1
12812	Watford FC (	Norwich City FC (	1	1
12813	Wolverhampton Wanderers FC (	Southampton FC (	2	2
12814	Coventry City FC (	Queens Park Rangers FC (	0	0
12815	Blackpool FC (	Southampton FC (	2	2
12816	Charlton Athletic FC (	Preston North End FC (	1	2
12817	Coventry City FC (	Norwich City FC (	1	0
12818	Crystal Palace FC (	Colchester United FC (	2	1
12819	Hull City AFC (	Scunthorpe United FC (	2	0
12820	Leicester City FC (	Bristol City FC (	0	0
12821	Plymouth Argyle FC (	Sheffield United FC (	0	1
12822	Sheffield Wednesday FC (	Queens Park Rangers FC (	2	1
12823	Stoke City FC (	Burnley FC (	1	1
12824	Barnsley FC (	Ipswich Town FC (	4	1
12825	Bristol City FC (	Watford FC (	0	0
12826	Burnley FC (	Charlton Athletic FC (	1	0
12827	Colchester United FC (	Sheffield Wednesday FC (	1	2
12828	Norwich City FC (	Stoke City FC (	0	1
12829	Preston North End FC (	Wolverhampton Wanderers FC (	2	1
12830	Queens Park Rangers FC (	Blackpool FC (	3	2
12831	Scunthorpe United FC (	Plymouth Argyle FC (	1	0
12832	Sheffield United FC (	Coventry City FC (	2	1
12833	Southampton FC (	Leicester City FC (	1	0
12834	Cardiff City FC (	Hull City AFC (	1	0
12835	West Bromwich Albion FC (	Crystal Palace FC (	1	1
12836	Blackpool FC (	Preston North End FC (	0	0
12837	Bristol City FC (	Plymouth Argyle FC (	1	2
12838	Burnley FC (	Wolverhampton Wanderers FC (	1	3
12839	Colchester United FC (	Cardiff City FC (	1	1
12840	Coventry City FC (	Sheffield Wednesday FC (	0	0
12841	Crystal Palace FC (	Barnsley FC (	2	0
12842	Hull City AFC (	Southampton FC (	5	0
12843	Ipswich Town FC (	Charlton Athletic FC (	2	0
12844	Queens Park Rangers FC (	Scunthorpe United FC (	3	1
12845	Sheffield United FC (	Norwich City FC (	2	0
12846	Watford FC (	Stoke City FC (	0	0
12847	West Bromwich Albion FC (	Leicester City FC (	1	4
12848	Colchester United FC (	Hull City AFC (	1	3
12849	Wolverhampton Wanderers FC (	Scunthorpe United FC (	2	1
12850	Charlton Athletic FC (	West Bromwich Albion FC (	1	1
12851	Barnsley FC (	Sheffield United FC (	0	1
12852	Cardiff City FC (	Bristol City FC (	2	1
12853	Leicester City FC (	Hull City AFC (	0	2
12854	Norwich City FC (	Colchester United FC (	5	1
12855	Plymouth Argyle FC (	Watford FC (	1	1
12856	Preston North End FC (	Burnley FC (	2	1
12857	Scunthorpe United FC (	Ipswich Town FC (	1	2
12858	Sheffield Wednesday FC (	Crystal Palace FC (	2	2
12859	Southampton FC (	Coventry City FC (	0	0
12860	Stoke City FC (	Blackpool FC (	1	1
12861	Wolverhampton Wanderers FC (	Queens Park Rangers FC (	3	3
12862	Bristol City FC (	Norwich City FC (	2	1
12863	Burnley FC (	Barnsley FC (	2	1
12864	Cardiff City FC (	Southampton FC (	1	0
12865	Charlton Athletic FC (	Wolverhampton Wanderers FC (	2	3
12866	Coventry City FC (	Plymouth Argyle FC (	3	1
12867	Crystal Palace FC (	Blackpool FC (	0	0
12868	Hull City AFC (	Watford FC (	3	0
12869	Ipswich Town FC (	Queens Park Rangers FC (	0	0
12870	Leicester City FC (	Scunthorpe United FC (	1	0
12871	Preston North End FC (	Sheffield United FC (	3	1
12872	Sheffield Wednesday FC (	Stoke City FC (	1	1
12873	West Bromwich Albion FC (	Colchester United FC (	4	3
12874	Cardiff City FC (	West Bromwich Albion FC (	0	0
12875	Sheffield Wednesday FC (	Coventry City FC (	1	1
12876	Colchester United FC (	Ipswich Town FC (	2	0
12877	Norwich City FC (	Burnley FC (	2	0
12878	Plymouth Argyle FC (	Charlton Athletic FC (	1	2
12879	Queens Park Rangers FC (	Preston North End FC (	2	2
12880	Scunthorpe United FC (	Sheffield Wednesday FC (	1	1
12881	Sheffield United FC (	Leicester City FC (	3	0
12882	Southampton FC (	Bristol City FC (	2	0
12883	Watford FC (	Coventry City FC (	2	1
12884	Stoke City FC (	Crystal Palace FC (	1	2
12885	Blackpool FC (	West Bromwich Albion FC (	1	3
12886	Sheffield United FC (	Sheffield Wednesday FC (	2	2
12887	Ipswich Town FC (	Cardiff City FC (	1	1
12888	Watford FC (	Barnsley FC (	0	3
12889	Bristol City FC (	Wolverhampton Wanderers FC (	0	0
12890	Burnley FC (	Sheffield United FC (	1	2
12891	Cardiff City FC (	Blackpool FC (	3	1
12892	Charlton Athletic FC (	Southampton FC (	1	1
12893	Coventry City FC (	Stoke City FC (	1	2
12894	Crystal Palace FC (	Scunthorpe United FC (	2	0
12895	Hull City AFC (	Queens Park Rangers FC (	1	1
12896	Leicester City FC (	Colchester United FC (	1	1
12897	Preston North End FC (	Barnsley FC (	1	2
12898	West Bromwich Albion FC (	Watford FC (	1	1
12899	Ipswich Town FC (	Norwich City FC (	2	1
12900	Sheffield Wednesday FC (	Plymouth Argyle FC (	1	1
12901	Barnsley FC (	Hull City AFC (	1	3
12902	Wolverhampton Wanderers FC (	West Bromwich Albion FC (	0	1
12903	Barnsley FC (	Leicester City FC (	0	1
12904	Blackpool FC (	Sheffield Wednesday FC (	2	1
12905	Colchester United FC (	Coventry City FC (	1	5
12906	Norwich City FC (	West Bromwich Albion FC (	1	2
12907	Plymouth Argyle FC (	Preston North End FC (	2	2
12908	Queens Park Rangers FC (	Charlton Athletic FC (	1	0
12909	Scunthorpe United FC (	Cardiff City FC (	3	2
12910	Sheffield United FC (	Hull City AFC (	2	0
12911	Southampton FC (	Burnley FC (	0	1
12912	Stoke City FC (	Bristol City FC (	2	1
12913	Watford FC (	Crystal Palace FC (	0	2
12914	Wolverhampton Wanderers FC (	Ipswich Town FC (	1	1
12915	Wolverhampton Wanderers FC (	Cardiff City FC (	3	0
12916	Barnsley FC (	Charlton Athletic FC (	3	0
12917	Burnley FC (	Cardiff City FC (	3	3
12918	Colchester United FC (	Stoke City FC (	0	1
12919	Coventry City FC (	Wolverhampton Wanderers FC (	1	1
12920	Hull City AFC (	Crystal Palace FC (	2	1
12921	Leicester City FC (	Sheffield Wednesday FC (	1	3
12922	Norwich City FC (	Queens Park Rangers FC (	3	0
12923	Plymouth Argyle FC (	Blackpool FC (	3	0
12924	Preston North End FC (	Ipswich Town FC (	2	2
12925	Sheffield United FC (	Bristol City FC (	2	1
12926	Watford FC (	Scunthorpe United FC (	0	1
12927	West Bromwich Albion FC (	Southampton FC (	1	1
12928	Blackpool FC (	Watford FC (	1	1
12929	Bristol City FC (	Preston North End FC (	3	0
12930	Cardiff City FC (	Barnsley FC (	3	0
12931	Charlton Athletic FC (	Coventry City FC (	4	1
12932	Crystal Palace FC (	Burnley FC (	5	0
12933	Ipswich Town FC (	Hull City AFC (	1	0
12934	Queens Park Rangers FC (	West Bromwich Albion FC (	0	2
12935	Scunthorpe United FC (	Colchester United FC (	3	3
12936	Sheffield Wednesday FC (	Norwich City FC (	4	1
12937	Southampton FC (	Sheffield United FC (	3	2
12938	Stoke City FC (	Leicester City FC (	0	0
12939	Wolverhampton Wanderers FC (	Plymouth Argyle FC (	1	0
12940	Tea	Tea	F	T
12941	Birmingham City FC 	Sheffield United FC 	1	0
12942	Blackpool FC 	Bristol City FC 	0	1
12943	Cardiff City FC 	Southampton FC 	2	1
12944	Charlton Athletic FC 	Swansea City AFC 	2	0
12945	Coventry City FC 	Norwich City FC 	2	0
12946	Crystal Palace FC 	Watford FC 	0	0
12947	Derby County FC 	Doncaster Rovers FC 	0	1
12948	Ipswich Town FC 	Preston North End FC 	1	2
12949	Plymouth Argyle FC 	Wolverhampton Wanderers FC 	2	2
12950	Queens Park Rangers FC 	Barnsley FC 	2	1
12951	Sheffield Wednesday FC 	Burnley FC 	4	1
12952	Nottingham Forest FC 	Reading FC 	0	0
12953	Barnsley FC 	Coventry City FC 	1	2
12954	Bristol City FC 	Derby County FC 	1	1
12955	Burnley FC 	Ipswich Town FC 	0	3
12956	Doncaster Rovers FC 	Cardiff City FC 	1	1
12957	Norwich City FC 	Blackpool FC 	1	1
12958	Preston North End FC 	Crystal Palace FC 	2	0
12959	Reading FC 	Plymouth Argyle FC 	2	0
12960	Sheffield United FC 	Queens Park Rangers FC 	3	0
12961	Southampton FC 	Birmingham City FC 	1	2
12962	Swansea City AFC 	Nottingham Forest FC 	3	1
12963	Watford FC 	Charlton Athletic FC 	1	0
12964	Wolverhampton Wanderers FC 	Sheffield Wednesday FC 	4	1
12965	Birmingham City FC 	Barnsley FC 	2	0
12966	Blackpool FC 	Sheffield United FC 	1	3
12967	Cardiff City FC 	Norwich City FC 	2	2
12968	Charlton Athletic FC 	Reading FC 	4	2
12969	Coventry City FC 	Bristol City FC 	0	3
12970	Crystal Palace FC 	Burnley FC 	0	0
12971	Derby County FC 	Southampton FC 	0	1
12972	Ipswich Town FC 	Wolverhampton Wanderers FC 	0	2
12973	Nottingham Forest FC 	Watford FC 	3	2
12974	Plymouth Argyle FC 	Swansea City AFC 	0	1
12975	Queens Park Rangers FC 	Doncaster Rovers FC 	2	0
12976	Sheffield Wednesday FC 	Preston North End FC 	1	1
12977	Barnsley FC 	Derby County FC 	2	0
12978	Bristol City FC 	Queens Park Rangers FC 	1	1
12979	Burnley FC 	Plymouth Argyle FC 	0	0
12980	Doncaster Rovers FC 	Coventry City FC 	1	0
12981	Norwich City FC 	Birmingham City FC 	1	1
12982	Preston North End FC 	Charlton Athletic FC 	2	1
12983	Reading FC 	Crystal Palace FC 	4	2
12984	Sheffield United FC 	Cardiff City FC 	0	0
12985	Southampton FC 	Blackpool FC 	0	1
12986	Swansea City AFC 	Sheffield Wednesday FC 	1	1
12987	Watford FC 	Ipswich Town FC 	2	1
12988	Wolverhampton Wanderers FC 	Nottingham Forest FC 	5	1
12989	Birmingham City FC 	Doncaster Rovers FC 	1	0
12990	Blackpool FC 	Barnsley FC 	1	0
12991	Cardiff City FC 	Bristol City FC 	0	0
12992	Charlton Athletic FC 	Wolverhampton Wanderers FC 	1	3
12993	Coventry City FC 	Preston North End FC 	0	0
12994	Crystal Palace FC 	Swansea City AFC 	2	0
12995	Derby County FC 	Sheffield United FC 	2	1
12996	Ipswich Town FC 	Reading FC 	2	0
12997	Nottingham Forest FC 	Burnley FC 	1	2
12998	Plymouth Argyle FC 	Norwich City FC 	1	2
12999	Sheffield Wednesday FC 	Watford FC 	2	0
13000	Queens Park Rangers FC 	Southampton FC 	4	1
13001	Barnsley FC 	Cardiff City FC 	0	1
13002	Bristol City FC 	Birmingham City FC 	1	2
13003	Burnley FC 	Blackpool FC 	2	0
13004	Doncaster Rovers FC 	Charlton Athletic FC 	0	1
13005	Preston North End FC 	Nottingham Forest FC 	2	1
13006	Reading FC 	Sheffield Wednesday FC 	6	0
13007	Sheffield United FC 	Coventry City FC 	1	1
13008	Swansea City AFC 	Derby County FC 	1	1
13009	Watford FC 	Plymouth Argyle FC 	1	2
13010	Wolverhampton Wanderers FC 	Crystal Palace FC 	2	1
13011	Norwich City FC 	Queens Park Rangers FC 	0	1
13012	Southampton FC 	Ipswich Town FC 	2	2
13013	Birmingham City FC 	Blackpool FC 	0	1
13014	Bristol City FC 	Doncaster Rovers FC 	4	1
13015	Coventry City FC 	Queens Park Rangers FC 	1	0
13016	Crystal Palace FC 	Plymouth Argyle FC 	1	2
13017	Derby County FC 	Cardiff City FC 	1	1
13018	Norwich City FC 	Sheffield United FC 	1	0
13019	Nottingham Forest FC 	Charlton Athletic FC 	0	0
13020	Preston North End FC 	Wolverhampton Wanderers FC 	1	3
13021	Sheffield Wednesday FC 	Ipswich Town FC 	0	0
13022	Southampton FC 	Barnsley FC 	0	0
13023	Swansea City AFC 	Burnley FC 	1	1
13024	Watford FC 	Reading FC 	2	2
13025	Barnsley FC 	Norwich City FC 	0	0
13026	Blackpool FC 	Coventry City FC 	1	1
13027	Burnley FC 	Preston North End FC 	3	1
13028	Cardiff City FC 	Birmingham City FC 	1	2
13029	Charlton Athletic FC 	Sheffield Wednesday FC 	1	2
13030	Doncaster Rovers FC 	Southampton FC 	0	2
13031	Ipswich Town FC 	Crystal Palace FC 	1	1
13032	Plymouth Argyle FC 	Nottingham Forest FC 	1	0
13033	Queens Park Rangers FC 	Derby County FC 	0	2
13034	Reading FC 	Swansea City AFC 	4	0
13035	Sheffield United FC 	Watford FC 	2	1
13036	Wolverhampton Wanderers FC 	Bristol City FC 	2	0
13037	Bristol City FC 	Plymouth Argyle FC 	2	2
13038	Burnley FC 	Watford FC 	3	2
13039	Cardiff City FC 	Coventry City FC 	2	1
13040	Crystal Palace FC 	Charlton Athletic FC 	1	0
13041	Derby County FC 	Birmingham City FC 	1	1
13042	Doncaster Rovers FC 	Sheffield United FC 	0	2
13043	Ipswich Town FC 	Barnsley FC 	3	0
13044	Preston North End FC 	Swansea City AFC 	0	2
13045	Queens Park Rangers FC 	Blackpool FC 	1	1
13046	Sheffield Wednesday FC 	Nottingham Forest FC 	1	0
13047	Southampton FC 	Norwich City FC 	2	0
13048	Wolverhampton Wanderers FC 	Reading FC 	0	3
13049	Barnsley FC (	Doncaster Rovers FC (	4	1
13050	Birmingham City FC (	Queens Park Rangers FC (	1	0
13051	Blackpool FC (	Cardiff City FC (	1	1
13052	Charlton Athletic FC (	Ipswich Town FC (	2	1
13053	Coventry City FC (	Southampton FC (	4	1
13054	Norwich City FC (	Derby County FC (	1	2
13055	Nottingham Forest FC (	Crystal Palace FC (	0	2
13056	Plymouth Argyle FC (	Sheffield Wednesday FC (	4	0
13057	Reading FC (	Burnley FC (	3	1
13058	Sheffield United FC (	Bristol City FC (	3	0
13059	Swansea City AFC (	Wolverhampton Wanderers FC (	3	1
13060	Watford FC (	Preston North End FC (	2	1
13061	Bristol City FC (	Norwich City FC (	1	0
13062	Burnley FC (	Birmingham City FC (	1	1
13063	Cardiff City FC (	Charlton Athletic FC (	2	0
13064	Crystal Palace FC (	Barnsley FC (	3	0
13065	Derby County FC (	Plymouth Argyle FC (	2	1
13066	Doncaster Rovers FC (	Blackpool FC (	0	0
13067	Ipswich Town FC (	Swansea City AFC (	2	2
13068	Preston North End FC (	Reading FC (	2	1
13069	Queens Park Rangers FC (	Nottingham Forest FC (	2	1
13070	Southampton FC (	Watford FC (	0	3
13071	Wolverhampton Wanderers FC (	Coventry City FC (	2	1
13072	Sheffield Wednesday FC (	Sheffield United FC (	1	0
13073	Barnsley FC (	Sheffield Wednesday FC (	2	1
13074	Birmingham City FC (	Crystal Palace FC (	1	0
13075	Blackpool FC (	Derby County FC (	3	2
13076	Charlton Athletic FC (	Bristol City FC (	0	2
13077	Coventry City FC (	Burnley FC (	1	3
13078	Norwich City FC (	Wolverhampton Wanderers FC (	5	2
13079	Nottingham Forest FC (	Ipswich Town FC (	1	1
13080	Plymouth Argyle FC (	Preston North End FC (	1	0
13081	Reading FC (	Doncaster Rovers FC (	2	1
13082	Sheffield United FC (	Southampton FC (	0	0
13083	Swansea City AFC (	Queens Park Rangers FC (	0	0
13084	Watford FC (	Cardiff City FC (	2	2
13085	Barnsley FC (	Bristol City FC (	0	0
13086	Birmingham City FC (	Sheffield Wednesday FC (	3	1
13087	Blackpool FC (	Crystal Palace FC (	2	2
13088	Charlton Athletic FC (	Burnley FC (	1	1
13089	Coventry City FC (	Derby County FC (	1	1
13090	Norwich City FC (	Doncaster Rovers FC (	2	1
13091	Nottingham Forest FC (	Cardiff City FC (	0	1
13092	Plymouth Argyle FC (	Ipswich Town FC (	1	3
13093	Reading FC (	Queens Park Rangers FC (	0	0
13094	Sheffield United FC (	Preston North End FC (	1	0
13095	Swansea City AFC (	Southampton FC (	3	0
13096	Watford FC (	Wolverhampton Wanderers FC (	2	3
13097	Bristol City FC (	Sheffield United FC (	0	0
13098	Burnley FC (	Reading FC (	1	0
13099	Cardiff City FC (	Blackpool FC (	2	0
13100	Crystal Palace FC (	Nottingham Forest FC (	1	2
13101	Derby County FC (	Norwich City FC (	3	1
13102	Doncaster Rovers FC (	Barnsley FC (	0	1
13103	Ipswich Town FC (	Charlton Athletic FC (	1	1
13104	Preston North End FC (	Watford FC (	2	0
13105	Queens Park Rangers FC (	Birmingham City FC (	1	0
13106	Sheffield Wednesday FC (	Plymouth Argyle FC (	0	1
13107	Southampton FC (	Coventry City FC (	1	1
13108	Wolverhampton Wanderers FC (	Swansea City AFC (	2	1
13109	Bristol City FC (	Reading FC (	1	4
13110	Burnley FC (	Norwich City FC (	2	0
13111	Cardiff City FC (	Wolverhampton Wanderers FC (	1	2
13112	Charlton Athletic FC (	Barnsley FC (	1	3
13113	Crystal Palace FC (	Sheffield Wednesday FC (	1	1
13114	Doncaster Rovers FC (	Swansea City AFC (	0	0
13115	Ipswich Town FC (	Queens Park Rangers FC (	2	0
13116	Preston North End FC (	Southampton FC (	2	3
13117	Sheffield United FC (	Plymouth Argyle FC (	2	0
13118	Watford FC (	Blackpool FC (	3	4
13119	Derby County FC (	Nottingham Forest FC (	1	1
13120	Birmingham City FC (	Coventry City FC (	0	1
13121	Barnsley FC (	Sheffield United FC (	1	2
13122	Blackpool FC (	Ipswich Town FC (	0	1
13123	Coventry City FC (	Crystal Palace FC (	0	2
13124	Norwich City FC (	Preston North End FC (	2	2
13125	Nottingham Forest FC (	Birmingham City FC (	1	1
13126	Plymouth Argyle FC (	Charlton Athletic FC (	2	2
13127	Queens Park Rangers FC (	Cardiff City FC (	1	0
13128	Reading FC (	Derby County FC (	3	0
13129	Sheffield Wednesday FC (	Doncaster Rovers FC (	1	0
13130	Southampton FC (	Bristol City FC (	0	1
13131	Wolverhampton Wanderers FC (	Burnley FC (	2	0
13132	Swansea City AFC (	Watford FC (	3	1
13133	Barnsley FC (	Watford FC (	2	1
13134	Birmingham City FC (	Charlton Athletic FC (	3	2
13135	Bristol City FC (	Nottingham Forest FC (	2	2
13136	Cardiff City FC (	Crystal Palace FC (	2	1
13137	Coventry City FC (	Plymouth Argyle FC (	0	1
13138	Derby County FC (	Sheffield Wednesday FC (	3	0
13139	Doncaster Rovers FC (	Ipswich Town FC (	1	0
13140	Norwich City FC (	Swansea City AFC (	2	3
13141	Queens Park Rangers FC (	Burnley FC (	1	2
13142	Sheffield United FC (	Reading FC (	0	2
13143	Southampton FC (	Wolverhampton Wanderers FC (	1	2
13144	Blackpool FC (	Preston North End FC (	1	3
13145	Swansea City AFC (	Birmingham City FC (	2	3
13146	Burnley FC (	Doncaster Rovers FC (	0	0
13147	Charlton Athletic FC (	Sheffield United FC (	2	5
13148	Crystal Palace FC (	Bristol City FC (	4	2
13149	Ipswich Town FC (	Derby County FC (	2	0
13150	Nottingham Forest FC (	Norwich City FC (	1	2
13151	Plymouth Argyle FC (	Cardiff City FC (	2	1
13152	Preston North End FC (	Barnsley FC (	2	1
13153	Reading FC (	Southampton FC (	1	2
